,Stock,Stock,Stock,Stock,Stock,Stock,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,Country Port,Country Port,Country Port,Country Port,Country Port,Country Port,US Riskfree
,Barrick,Hanson,IBM,Nokia,Telefonos,YPF,Small-Growth,Small-Neutral,Small-Value,Big-Growth,Big-Neutral,Big-Value,Australia,Hong Kong,Italy,Japan,Norway,US,US Riskfree
Dec-06,-0.035036018,-0.002422611,0.020626036,0.0875692,0.086256263,0.005024028,-0.0059,0.0083,0.0208,0.0043,0.0179,0.0279,0.0359,0.0623,0.0272,0.024,0.0539,0.0108,0.004
Nov-06,-0.023657289,0.048842462,0.056851791,0.005058169,0.090128755,-0.009519688,0.0258,0.0266,0.0308,0.0142,0.0283,0.0194,0.0338,0.0604,0.0574,0.0045,0.089,0.0237,0.0042
Oct-06,0.01789782,0.03779666,-0.001203501,0.016975309,-0.010806638,0.034930587,0.0587,0.0501,0.0517,0.0314,0.0308,0.0478,0.0865,0.011,0.0427,0.0194,0.0884,0.0371,0.0041
Sep-06,0.009195402,-0.034921533,0.126864752,0.009345794,0.031449045,0.070213276,0.0109,0.0111,0.0087,0.0269,0.0216,0.0186,-0.0153,0.0079,0.0067,-0.0188,-0.0752,0.0195,0.0041
Aug-06,-0.082278481,0.143573161,0.011977542,-0.056807052,0.067573311,-0.038257663,0.0322,0.0274,0.0238,0.0345,0.0158,0.0081,0.0223,0.0271,0.0398,0.0168,-0.0398,0.0251,0.0042
Jul-06,0.086799869,0.037229582,0.050045854,0.052035033,0.030210158,0.019981194,-0.0576,-0.0273,-0.0175,-0.0118,0.0126,0.0141,0.0174,0.0244,0.0103,-0.0083,0.0406,-0.0018,0.004
Jun-06,0.040558964,0.008797158,0.007789807,-0.020191822,0.125123153,0.099793175,-0.0065,0.0027,0.0024,-0.0037,0.0005,0.0167,0.0071,0.0073,-0.002,-0.011,-0.029,-0.0004,0.004
May-06,-0.032959789,-0.003204047,-0.038588474,-0.056666667,0.062271062,0.000258598,-0.0771,-0.0448,-0.04,-0.0312,-0.0271,-0.0137,-0.0549,-0.0627,-0.0214,-0.0628,-0.0752,-0.031,0.0043
Apr-06,0.007973422,-0.084028421,-0.026084807,-0.05234657,-0.099858691,-0.17688378,-0.008,0.0094,0.0151,-0.0031,0.0234,0.0344,0.0933,0.0508,0.0415,0.0275,0.0982,0.013,0.0036
Mar-06,0.118959108,0.039165329,-0.001604542,0.093780849,-0.021658986,-0.030740664,0.0408,0.0549,0.0495,0.0157,0.0166,0.0084,0.0043,0.0119,0.0308,0.0227,0.1177,0.0191,0.0037
Feb-06,-0.004809471,0.071182944,0.027781302,0.138842046,0.012126866,-0.02807299,-0.0042,-0.0036,-0.0065,0.0033,0.004,-0.01,-0.0205,0.0069,0.0152,-0.0102,-0.0081,-0.0016,0.0034
Jan-06,-0.130028967,0.051527753,-0.010543492,0.010795455,-0.057167986,0.008901477,0.0859,0.0937,0.0761,0.0126,0.0387,0.0445,0.0749,0.058,0.0614,0.0434,0.1209,0.0401,0.0035
